file_name,artist_name,description,picture_name,ru_picture_name,ru_artist_name
Albrecht_Dürer1.jpg,Albrecht Durer,man with curly hair and beard,Head of the Mark,Глава знака,Альбрехт Дюрер
Albrecht_Dürer2.jpg,Albrecht Durer,woman holding baby in her lap,Madonna and child on the grassy bank,Мадонна и ребёнок на банке травы,Альбрехт Дюрер
Albrecht_Dürer3.jpg,Albrecht Durer,man and woman in room with window,,,Альбрехт Дюрер
Albrecht_Dürer4.jpg,Albrecht Durer,man standing next to woman in room,Peter and John Healing the Cripple at the Gate of the Temple,Петр и Иоанн Исцеляли калеку у ворот храма,Альбрехт Дюрер
Albrecht_Dürer5.jpg,Albrecht Durer,group people in room with bed,Life of the Virgin: The Death of the Virgin,Жизнь Девы: смерть Девы,Альбрехт Дюрер
Albrecht_Dürer6.jpg,Albrecht Durer,man on cross with skull,Christ on the Cross,Христос на кресте,Альбрехт Дюрер
Albrecht_Dürer7.jpg,Albrecht Durer,woman sitting at table with man and woman,,,Альбрехт Дюрер
Albrecht_Dürer8.jpg,Albrecht Durer,man and woman in landscape with trees,The Promenade,Променад,Альбрехт Дюрер
Albrecht_Dürer9.jpg,Albrecht Durer,woman holding sword and skull,The Coat-of-Arms with the Skull,Пальто с черепом,Альбрехт Дюрер
Albrecht_Dürer10.jpg,Albrecht Durer,woman with braided headband,Portrait of a young woman,Портрет молодой женщины,Альбрехт Дюрер
Albrecht_Dürer11.jpg,Albrecht Durer,group people in boat with angels,Assumption and Coronation of the Virgin,Презумпция и коронация Девы,Альбрехт Дюрер
Albrecht_Dürer12.jpg,Albrecht Durer,group people sitting around table,Women only,Только женщины,Альбрехт Дюрер
Albrecht_Dürer13.jpg,Albrecht Durer,group people standing around man,Martyrdom of the Ten Thousand,Церемония из десяти тысяч,Альбрехт Дюрер
Albrecht_Dürer14.jpg,Albrecht Durer,book and hat on table,Lectern with books,Лектерн с книгами,Альбрехт Дюрер
Albrecht_Dürer15.jpg,Albrecht Durer,black and white man with hat,Portrait of a Man (Konrad Peutinger),Портрет человека (Конрад Пейтингер),Альбрехт Дюрер
Albrecht_Dürer16.jpg,Albrecht Durer,man kneeling down next to dog,St. Jerome in Penitence,Сент-Жером в раскаянии,Альбрехт Дюрер
Albrecht_Dürer17.jpg,Albrecht Durer,hand holding apple in style,,,Альбрехт Дюрер
Albrecht_Dürer18.jpg,Albrecht Durer,woman's head with hairdo,Head of an apostle,Глава апостола,Альбрехт Дюрер
Albrecht_Dürer19.jpg,Albrecht Durer,man with hat on his head,Portrait of Caspar tower and a river landscape,Портрет башни Каспара и речной ландшафт,Альбрехт Дюрер
Albrecht_Dürer20.jpg,Albrecht Durer,man with fur coat and sign,Portrait of Ulrich Starck,Портрет Ульриха Старка,Альбрехт Дюрер
Albrecht_Dürer21.jpg,Albrecht Durer,crest with tree in middle,Wappen Pirckheimer,Вапен Пиркхаймер,Альбрехт Дюрер
Albrecht_Dürer22.jpg,Albrecht Durer,man and dog in room,St. Jerome in His Study,Св. Иероним в своем исследовании,Альбрехт Дюрер
Albrecht_Dürer23.jpg,Albrecht Durer,black and white man with hat on,"Frederick the Wise, Elector of Saxony","Фредерик Мудрый, Избиратель Саксонии",Альбрехт Дюрер
Albrecht_Dürer24.jpg,Albrecht Durer,woman with head scarf on her head,Self-Portrait with a wrap,Самопортрет с оберткой,Альбрехт Дюрер
Albrecht_Dürer25.jpg,Albrecht Durer,two heads baby and child,Study sheets with children's heads,Учебные листы с головами детей,Альбрехт Дюрер
Albrecht_Dürer26.jpg,Albrecht Durer,man holding frisbee in his right hand,Naked man with mirror,Голый человек с зеркалом,Альбрехт Дюрер
Albrecht_Dürer27.jpg,Albrecht Durer,group people standing around man holding flag,Arrest of Christ,Арест Христа,Альбрехт Дюрер
Albrecht_Dürer28.jpg,Albrecht Durer,woman sitting on bench with cat,Mary with child wound on the grassy bank,Мэри с детской раной на банке травы,Альбрехт Дюрер
Albrecht_Dürer29.jpg,Albrecht Durer,man with wings and bird,Study to a large fortune,Учись на большое состояние,Альбрехт Дюрер
Albrecht_Dürer30.jpg,Albrecht Durer,woman riding horse with man on it,Abduction,Похищение,Альбрехт Дюрер
Albrecht_Dürer31.jpg,Albrecht Durer,man and woman in courtyard with dog,Adoration of the Magi,Обожание волхвов,Альбрехт Дюрер
Albrecht_Dürer32.jpg,Albrecht Durer,man in hat and coat with clock tower in background,Portrait of Lazarus Ravensburger and the turrets of the court of Lier in Antwerp,Портрет Лазаря Рэйвенсбургера и башены двора Лиера в Антверпене,Альбрехт Дюрер
Albrecht_Dürer33.jpg,Albrecht Durer,man with cane standing in front wall,Standing female nude with baton in the right,Стоящая женская обнаженная с правой дубинкой,Альбрехт Дюрер
Albrecht_Dürer34.jpg,Albrecht Durer,man and woman in renaissance clothing,Young couple,Молодая пара,Альбрехт Дюрер
Albrecht_Dürer35.jpg,Albrecht Durer,man with shirt on pointing at something,Upper Body of Christ,Верхнее тело Христа,Альбрехт Дюрер
Albrecht_Dürer36.jpg,Albrecht Durer,group naked men standing in front tree,Bacchanal with Silenus,Бакалавр с Силеном,Альбрехт Дюрер
