Название файла,Имя Художника,Описание картины,Название картины
Albrecht_Dürer1.jpg,Albrecht Dürer,a drawing of a man with curly hair and a beard,Head of the Mark
Albrecht_Dürer2.jpg,Albrecht Dürer,a drawing of a woman holding a baby in her lap,Madonna and child on the grassy bank
Albrecht_Dürer3.jpg,Albrecht Dürer,a drawing of a man and woman in a room with a window,
Albrecht_Dürer4.jpg,Albrecht Dürer,a drawing of a man standing next to a woman in a room,Peter and John Healing the Cripple at the Gate of the Temple
Albrecht_Dürer5.jpg,Albrecht Dürer,a drawing of a group of people in a room with a bed,Life of the Virgin: The Death of the Virgin
Albrecht_Dürer6.jpg,Albrecht Dürer,a drawing of a man on a cross with a skull,Christ on the Cross
Albrecht_Dürer7.jpg,Albrecht Dürer,a drawing of a woman sitting at a table with a man and a woman,
Albrecht_Dürer8.jpg,Albrecht Dürer,a drawing of a man and woman in a landscape with trees,The Promenade
Albrecht_Dürer9.jpg,Albrecht Dürer,a drawing of a woman holding a sword and a skull,The Coat-of-Arms with the Skull
Albrecht_Dürer10.jpg,Albrecht Dürer,a drawing of a woman with a braided headband,Portrait of a young woman
Albrecht_Dürer11.jpg,Albrecht Dürer,a drawing of a group of people in a boat with angels,Assumption and Coronation of the Virgin
Albrecht_Dürer12.jpg,Albrecht Dürer,a drawing of a group of people sitting around a table,Women only
Albrecht_Dürer13.jpg,Albrecht Dürer,a drawing of a group of people standing around a man,Martyrdom of the Ten Thousand
Albrecht_Dürer14.jpg,Albrecht Dürer,a drawing of a book and a hat on a table,Lectern with books
Albrecht_Dürer15.jpg,Albrecht Dürer,a black and white drawing of a man with a hat,Portrait of a Man (Konrad Peutinger)
Albrecht_Dürer16.jpg,Albrecht Dürer,a drawing of a man kneeling down next to a dog,St. Jerome in Penitence
Albrecht_Dürer17.jpg,Albrecht Dürer,a drawing of a hand holding an apple in a drawing style,
Albrecht_Dürer18.jpg,Albrecht Dürer,a drawing of a woman's head with a hairdo,Head of an apostle
Albrecht_Dürer19.jpg,Albrecht Dürer,a drawing of a man with a hat on his head,Portrait of Caspar tower and a river landscape
Albrecht_Dürer20.jpg,Albrecht Dürer,a drawing of a man with a fur coat and a sign,Portrait of Ulrich Starck
Albrecht_Dürer21.jpg,Albrecht Dürer,a drawing of a crest with a tree in the middle,Wappen Pirckheimer
Albrecht_Dürer22.jpg,Albrecht Dürer,a drawing of a man and a dog in a room,St. Jerome in His Study
Albrecht_Dürer23.jpg,Albrecht Dürer,a black and white drawing of a man with a hat on,"Frederick the Wise, Elector of Saxony"
Albrecht_Dürer24.jpg,Albrecht Dürer,a drawing of a woman with a head scarf on her head,Self-Portrait with a wrap
Albrecht_Dürer25.jpg,Albrecht Dürer,a drawing of two heads of a baby and a child,Study sheets with children's heads
Albrecht_Dürer26.jpg,Albrecht Dürer,a drawing of a man holding a frisbee in his right hand,Naked man with mirror
Albrecht_Dürer27.jpg,Albrecht Dürer,a drawing of a group of people standing around a man holding a flag,Arrest of Christ
Albrecht_Dürer28.jpg,Albrecht Dürer,a drawing of a woman sitting on a bench with a cat,Mary with child wound on the grassy bank
Albrecht_Dürer29.jpg,Albrecht Dürer,a drawing of a man with wings and a bird,Study to a large fortune
Albrecht_Dürer30.jpg,Albrecht Dürer,a drawing of a woman riding a horse with a man on it,Abduction
Albrecht_Dürer31.jpg,Albrecht Dürer,a drawing of a man and woman in a courtyard with a dog,Adoration of the Magi
Albrecht_Dürer32.jpg,Albrecht Dürer,a drawing of a man in a hat and coat with a clock tower in the background,Portrait of Lazarus Ravensburger and the turrets of the court of Lier in Antwerp
Albrecht_Dürer33.jpg,Albrecht Dürer,a drawing of a man with a cane standing in front of a wall,Standing female nude with baton in the right
Albrecht_Dürer34.jpg,Albrecht Dürer,a drawing of a man and woman in renaissance clothing,Young couple
Albrecht_Dürer35.jpg,Albrecht Dürer,a drawing of a man with a shirt on pointing at something,Upper Body of Christ
Albrecht_Dürer36.jpg,Albrecht Dürer,a drawing of a group of naked men standing in front of a tree,Bacchanal with Silenus
Albrecht_Dürer37.jpg,Albrecht Dürer,arafed drawing of a bearded man with a hat and a beard,Head Of An Old Man
Albrecht_Dürer38.jpg,Albrecht Dürer,arafed drawing of a group of people sitting around a table,Last Supper
Albrecht_Dürer39.jpg,Albrecht Dürer,a drawing of a woman sitting on a rock with a dog,Reading Maria
Albrecht_Dürer40.jpg,Albrecht Dürer,a drawing of a man with a circle in his hand,Male Nude (Adam)
Albrecht_Dürer41.jpg,Albrecht Dürer,a drawing of a man with a hat and a jacket,Portrait of Jobst Plankfelt
Albrecht_Dürer42.jpg,Albrecht Dürer,a drawing of a man riding a horse holding a sign,
Albrecht_Dürer43.jpg,Albrecht Dürer,arafed drawing of a man in a robe and hat,Portrait Donors
Albrecht_Dürer44.jpg,Albrecht Dürer,a drawing of a man laying on the ground next to a box,Nymph
Albrecht_Dürer45.jpg,Albrecht Dürer,a drawing of a woman in a dress with a hat and a sash,Nuremberg woman in house dress
Albrecht_Dürer46.jpg,Albrecht Dürer,a drawing of a group of people standing around a man,Christ
Albrecht_Dürer47.jpg,Albrecht Dürer,a drawing of a man leaning on a box with a bat,Study of a man with a Drill
Albrecht_Dürer48.jpg,Albrecht Dürer,drawing of a man riding a horse with a dog on it,Madonna and Child with bagpipers
Albrecht_Dürer49.jpg,Albrecht Dürer,a black and white drawing of a praying hands,
Albrecht_Dürer50.jpg,Albrecht Dürer,a black and white photo of a skull on a table,Skull
Albrecht_Dürer51.jpg,Albrecht Dürer,a drawing of a bird with wings and a basket of flowers,Coat of arms with open man behind
Albrecht_Dürer52.jpg,Albrecht Dürer,arafed drawing of a man on a horse with a woman on a horse,Abduction on a Unicorn
Albrecht_Dürer53.jpg,Albrecht Dürer,a drawing of a carriage with a group of people riding on it,The small chariot
Albrecht_Dürer54.jpg,Albrecht Dürer,arafed drawing of a man holding a sword and a heart,Apollo
Albrecht_Dürer55.jpg,Albrecht Dürer,a drawing of a man in a suit and pants with a bag,Garment studies
Albrecht_Dürer56.jpg,Albrecht Dürer,a drawing of a man with a headband and a beard,Nude Self-portrait
Albrecht_Dürer57.jpg,Albrecht Dürer,a drawing of a man standing next to a dog and a cat,"Study Journal, naked couple and the Devil"
Albrecht_Dürer58.jpg,Albrecht Dürer,a drawing of a group of people sitting on a ground,
Albrecht_Dürer59.jpg,Albrecht Dürer,a drawing of a woman sitting on a couch with a child,Study sheet with Mary and Child
Albrecht_Dürer60.jpg,Albrecht Dürer,a drawing of a man with a hat on his head,Portrait of William Pirckheimer
Albrecht_Dürer61.jpg,Albrecht Dürer,a drawing of a woman with her eyes closed,Portrait of a woman (Agnes Dürer)
Albrecht_Dürer62.jpg,Albrecht Dürer,a drawing of three men with swords and a sword,Irish soldiers and peasants
Albrecht_Dürer63.jpg,Albrecht Dürer,arafed image of a man on a horse in a stable,The Little Horse
Albrecht_Dürer64.jpg,Albrecht Dürer,a drawing of a woman with a bird in her hand,One of the wise virgins
Albrecht_Dürer65.jpg,Albrecht Dürer,a drawing of a group of people on a boat with a man on the ground,
Albrecht_Dürer66.jpg,Albrecht Dürer,a drawing of two men standing next to a tree with a bird on it,Adam and Eve
Albrecht_Dürer67.jpg,Albrecht Dürer,a drawing of a man with a beard and a hat,Portrait of Captain Felix Hungersperg
Albrecht_Dürer68.jpg,Albrecht Dürer,a drawing of a large group of people in a building,Angel Fair
Albrecht_Dürer69.jpg,Albrecht Dürer,a drawing of a group of people standing around a man in a bed,"Madonna and Child, saints and angels playing"
Albrecht_Dürer70.jpg,Albrecht Dürer,arafed drawing of a woman with her eyes closed,St. Apollonia
Albrecht_Dürer71.jpg,Albrecht Dürer,arafed drawing of a man on a cross with a group of people,Study sheet with six nude figures
Albrecht_Dürer72.jpg,Albrecht Dürer,a drawing of a table with two vases and a cat on it,Table and cans
Albrecht_Dürer73.jpg,Albrecht Dürer,a drawing of a group of people standing around a wheel,Allegory on Social Injustice
Albrecht_Dürer74.jpg,Albrecht Dürer,a drawing of a carriage with people on it and a horse drawn carriage,
Albrecht_Dürer75.jpg,Albrecht Dürer,a drawing of a tree with a bunch of branches on top of it,Sketch of a Table Fountain
Albrecht_Dürer76.jpg,Albrecht Dürer,arafed drawing of a man in a robe and a cane,Standing Apostle
Albrecht_Dürer77.jpg,Albrecht Dürer,a drawing of a woman holding a baby and a bird,
Albrecht_Dürer78.jpg,Albrecht Dürer,drawing of a cow grazing on grass in a field,Young Steer
Albrecht_Dürer79.jpg,Albrecht Dürer,a drawing of a man holding a sword and a woman kneeling down,Witch Riding Backwards On A Goat
Albrecht_Dürer80.jpg,Albrecht Dürer,a drawing of a man standing with his hands in his pockets,Female Nude
Albrecht_Dürer81.jpg,Albrecht Dürer,a drawing of a woman holding a baby in her arms,The Virgin with Hairband on a Crescent Moon
Albrecht_Dürer82.jpg,Albrecht Dürer,a drawing of a man with a hat and a beard,Portrait of Hesse Eobanus
